"position","season","team","points","goaldiff"
1.0,"0001","Man United",80,48.0
2.0,"0001","Arsenal",70,25.0
3.0,"0001","Liverpool",69,32.0
4.0,"0001","Leeds",68,21.0
5.0,"0001","Ipswich",66,15.0
6.0,"0001","Chelsea",61,23.0
7.0,"0001","Sunderland",57,5.0
8.0,"0001","Aston Villa",54,3.0
9.0,"0001","Charlton",52,-7.0
10.0,"0001","Southampton",52,-8.0
11.0,"0001","Newcastle",51,-6.0
12.0,"0001","Tottenham",49,-7.0
13.0,"0001","Leicester",48,-12.0
14.0,"0001","Middlesbrough",42,0.0
15.0,"0001","West Ham",42,-5.0
16.0,"0001","Everton",42,-14.0
17.0,"0001","Derby",42,-22.0
18.0,"0001","Man City",34,-24.0
19.0,"0001","Coventry",34,-27.0
20.0,"0001","Bradford",26,-40.0
1.0,"0102","Arsenal",87,43.0
2.0,"0102","Liverpool",80,37.0
3.0,"0102","Man United",77,42.0
4.0,"0102","Newcastle",71,22.0
5.0,"0102","Leeds",66,16.0
6.0,"0102","Chelsea",64,28.0
7.0,"0102","West Ham",53,-9.0
8.0,"0102","Aston Villa",50,-1.0
9.0,"0102","Tottenham",50,-4.0
10.0,"0102","Blackburn",46,4.0
11.0,"0102","Southampton",45,-8.0
12.0,"0102","Middlesbrough",45,-12.0
13.0,"0102","Fulham",44,-8.0
14.0,"0102","Charlton",44,-11.0
15.0,"0102","Everton",43,-12.0
16.0,"0102","Bolton",40,-18.0
17.0,"0102","Sunderland",40,-22.0
18.0,"0102","Ipswich",36,-23.0
19.0,"0102","Derby",30,-30.0
20.0,"0102","Leicester",28,-34.0
1.0,"0203","Man United",83,40.0
2.0,"0203","Arsenal",78,43.0
3.0,"0203","Newcastle",69,15.0
4.0,"0203","Chelsea",67,30.0
5.0,"0203","Liverpool",64,20.0
6.0,"0203","Blackburn",60,9.0
7.0,"0203","Everton",59,-1.0
8.0,"0203","Southampton",52,-3.0
9.0,"0203","Man City",51,-7.0
10.0,"0203","Tottenham",50,-11.0
11.0,"0203","Middlesboro",49,4.0
12.0,"0203","Charlton",49,-11.0
13.0,"0203","Birmingham",48,-8.0
